Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12p","C_0603_1608Metric",179.097611,-86.387500,25.000000,top
"C2","12p","C_0603_1608Metric",181.251407,-91.600584,15.000000,top
"C4","100nF","C_0603_1608Metric",172.064324,-68.408936,-125.000000,top
"C5","100nF","C_0603_1608Metric",166.250000,-65.100000,65.000000,top
"C6","100nF","C_0603_1608Metric",146.649023,-61.672372,-85.000000,top
"C7","1uF","C_0603_1608Metric",146.950000,-64.650000,95.000000,top
"C8","100nF","C_0603_1608Metric",159.950000,-62.800000,-105.000000,top
"C9","100nF","C_0603_1608Metric",163.172198,-63.833357,-110.000000,top
"C10","4.7uF","C_0805_2012Metric",169.150000,-66.850000,60.000000,top
"C11","100nF","C_0603_1608Metric",129.600000,-75.700000,-50.000000,top
"C12","4.7uF","C_0805_2012Metric",125.300000,-70.550000,130.000000,top
"D1","3.6V","D_SOD-123",176.550000,-73.400000,45.000000,top
"D2","3.6V","D_SOD-123",174.200000,-71.150000,50.000000,top
"D_I_1","D_Small","D_SOD-123",121.200000,-75.850000,140.000000,top
"D_I_2","D_Small","D_SOD-123",117.450000,-81.200000,150.000000,top
"D_I_3","D_Small","D_SOD-123",119.200000,-78.450000,145.000000,top
"D_I_4","D_Small","D_SOD-123",115.900000,-84.100000,155.000000,top
"D_I_5","D_Small","D_SOD-123",114.650000,-87.150000,160.000000,top
"F1","Polyfuse","Fuse_0805_2012Metric",181.800000,-63.500000,-90.000000,top
"LS1","SN74LVC1T45DCK","SOT-363_SC-70-6",133.800000,-65.250000,25.000000,top
"LS2","SN74LVC1T45DCK","SOT-363_SC-70-6",136.873866,-63.963008,20.000000,top
"LS3","SN74LVC1T45DCK","SOT-363_SC-70-6",140.056050,-62.986638,15.000000,top
"LS4","SN74LVC1T45DCK","SOT-363_SC-70-6",143.345993,-62.270651,10.000000,top
"R1","10K","R_0603_1608Metric",112.850000,-90.050000,-15.000000,top
"R1_1","5.1k","R_0603_1608Metric",187.950000,-93.300000,10.000000,top
"R1_2","5.1k","R_0603_1608Metric",181.736163,-94.482467,-170.000000,top
"R1_3","47R","R_0603_1608Metric",180.700000,-82.300000,-150.000000,top
"R1_4","47R","R_0603_1608Metric",179.100000,-79.650000,35.000000,top
"R1_5","1.5k","R_0603_1608Metric",179.450000,-75.300000,40.000000,top
"R1_6","10k","R_0603_1608Metric",124.950000,-74.900000,-45.000000,top
"R1_7","33R","R_0603_1608Metric",127.950000,-68.500000,125.000000,top
"R1_8","10k","R_0603_1608Metric",122.816633,-72.616640,-45.000000,top
"R1_9","2R","R_0603_1608Metric",129.650000,-70.950000,125.000000,top
"R1_10","2R","R_0603_1608Metric",130.700000,-66.650000,-60.000000,top
"R1_11","2R","R_0603_1608Metric",132.300000,-69.250000,-60.000000,top
"R1_12","20R","R_0603_1608Metric",181.563387,-77.900082,35.000000,top
"R1_13","20R","R_0603_1608Metric",183.300000,-80.800000,-150.000000,top
"R2","7.5K","R_0603_1608Metric",156.150000,-65.050000,-100.000000,top
"R2_1","4.7K","R_0603_1608Metric",112.050000,-93.300000,-10.000000,top
"R2_2","4.7K","R_0603_1608Metric",115.050000,-93.850000,-10.000000,top
"R3","30K","R_0603_1608Metric",156.700000,-62.100000,-100.000000,top
"R4","56K","R_0603_1608Metric",153.375821,-61.658599,-95.000000,top
"R5","7.5K","R_0603_1608Metric",153.100000,-64.650000,-95.000000,top
"R6","10K","R_0603_1608Metric",115.750000,-90.800000,-15.000000,top
"U1","SW","Switch SMD-4P,5.1x5.1mm",145.600000,-115.800000,0.000000,top
"U2","SW","Switch SMD-4P,5.1x5.1mm",154.400000,-115.800000,0.000000,top
"USB1","USB_C_Receptacle_USB2.0","USB_C_16P_SMD_C3025063",179.630000,-57.907500,180.000000,top
"VR1","TPS73601DBV","SOT-23-5",150.016780,-61.615676,0.000000,top
"Y2","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",184.800000,-87.400000,20.000000,top
