Designator,Mid X,Mid Y,Layer,Rotation
ATMEGA328P1,191.880000,-63.660000,top,0.000000
C1,185.250000,-77.250000,top,180.000000
C2,185.200000,-92.800000,top,180.000000
C3,176.289637,-80.721271,top,-55.000000
C4,175.500000,-74.500000,top,45.000000
C5,173.767765,-76.282233,top,-135.000000
C6,148.300000,-60.200000,top,92.500000
C7,148.440950,-62.402380,top,-87.500000
C8,143.553527,-62.954186,top,-80.000000
C9,143.200000,-60.800000,top,100.000000
C10,183.000000,-119.000000,top,-30.000000
C11,185.200000,-114.500000,top,-22.500000
D1,174.532057,-69.998102,top,-130.000000
D2,171.844153,-67.898672,top,-125.000000
D_I_1,130.639999,-66.500887,top,-60.000000
D_I_2,125.201958,-70.362742,top,-50.000000
D_I_3,122.711846,-72.611847,top,-45.000000
D_I_4,127.800000,-68.300000,top,-55.000000
D_I_5,120.429087,-75.115013,top,-40.000000
F1,171.900000,-56.200000,top,180.000000
H1,108.000000,-57.000000,top,0.000000
H2,192.000000,-57.000000,top,0.000000
H3,201.000000,-104.000000,top,0.000000
H4,150.000000,-133.500000,top,0.000000
H5,99.000000,-104.000000,top,0.000000
H6,122.500000,-119.500000,top,0.000000
H7,177.500000,-119.500000,top,0.000000
ISP1,119.150001,-57.224999,top,0.000000
KNOB1,112.000000,-107.000000,top,-90.000000
LS1,125.351019,-64.487553,top,35.000000
LS2,122.290068,-66.808577,top,40.000000
LS3,119.412133,-69.368629,top,45.000000
LS4,116.887279,-72.245554,top,50.000000
OLED1,108.800000,-98.100001,top,-90.000000
R1,117.323357,-79.155777,top,-32.500000
R1_1,164.800000,-68.250000,top,65.000000
R1_2,164.550217,-59.886046,top,-110.000000
R1_3,159.000000,-66.200000,top,75.000000
R1_4,157.381567,-57.973330,top,-100.000000
R1_5,153.692816,-57.521118,top,-95.000000
R1_6,191.210355,-111.072201,top,165.000000
R1_7,192.054235,-107.423199,top,170.000000
R1_8,192.541004,-103.664127,top,175.000000
R2_1,122.100000,-86.300000,top,153.750000
R2_2,113.639542,-86.793807,top,-20.000000
R3,137.158622,-59.282677,top,-72.500000
R4,133.626945,-60.610864,top,-67.500000
SCROLL_RING1,150.000000,-100.000000,top,0.000000
SW1,158.000003,-115.750001,top,180.000000
SW2,148.500004,-115.750004,top,180.000000
SW_M_1_1,103.414969,-132.000000,top,45.000000
SW_M_1_2,110.414969,-138.599174,top,45.000000
SW_M_2_1,190.985566,-139.000000,top,135.000000
SW_M_2_2,196.599174,-133.585032,top,135.000000
USB1,176.325000,-54.075000,top,0.000000
VR1,129.110104,-62.208525,top,30.000000
Y1,183.999998,-82.550000,top,-90.000000
